@relation mixed_instances_1

@attribute token_count numeric
@attribute avg_token_count numeric
@attribute SLD_URL_mal numeric
@attribute SLD_URL_phis numeric
@attribute SLD_URL_spam numeric
@attribute inbound_link_google numeric
@attribute inbound_link_yahoo numeric
@attribute inbound_link_bing numeric
@attribute lookup_time numeric
@attribute class {malware,phishing,spamming}

@data
2,9.5,0,0,0.000004,0,0,0,265,spamming
3,4.333333,0.000643,0,0,0,0,0,738,malware
2,9.5,0,0.000035,0,0,0,0,496,phishing
2,9.5,0,0,0.000004,0,0,0,86,spamming
3,3.666667,0.000643,0,0,0,0,0,273,malware
3,5,0,0.000035,0,0,0,0,24008,phishing
2,9.5,0,0,0.000004,0,0,0,75,spamming
3,4,0.000643,0,0,0,0,0,274,malware
7,2.857143,0,0.000035,0,0,0,0,62,phishing
2,9.5,0,0,0.000004,0,0,0,53,spamming
3,5.666667,0.000643,0,0,0,0,0,350,malware
3,5.333333,0,0.000035,0,0,0,0,92,phishing
2,9.5,0,0,0.000004,0,0,0,104,spamming
3,5,0.000643,0,0,0,0,0,474,malware
2,12.5,0,0.000035,0,0,0,0,101,phishing
2,9.5,0,0,0.000004,0,0,0,178,spamming
3,5.333333,0.000643,0,0,0,0,0,131,malware
2,6.5,0,0.000035,0,0,0,0,616,phishing
4,3.25,0,0,0.000004,0,0,0,80,spamming
6,11.333333,0.001285,0,0,0,0,0,304,malware
3,6.666667,0,0.000035,0,0,0,0,333,phishing
2,9.5,0,0,0.000004,0,0,0,55,spamming
3,4.333333,0.000643,0,0,0,0,0,468,malware
4,2.75,0,0.000035,0,0,0,0,0,phishing
2,9.5,0,0,0.000004,0,0,0,53,spamming
2,12.5,0.000643,0,0,0,0,0,69,malware
5,3.4,0,0.000035,0,0,0,0,804,phishing
2,9.5,0,0,0.000004,0,0,0,83,spamming
3,4.333333,0.000643,0,0,0,0,0,434,malware
4,2.5,0,0.000035,0,0,0,0,0,phishing
2,9.5,0,0,0.000004,0,0,0,63,spamming
3,4.333333,0.000643,0,0,0,0,0,334,malware
2,12,0,0.000035,0,0,0,0,63,phishing
2,9.5,0,0,0.000004,0,0,0,110,spamming
3,8.333333,0.000643,0,0,0,0,0,257,malware
2,12,0,0.000069,0,0,0,0,510,phishing
2,9.5,0,0,0.000004,0,0,0,141,spamming
6,11.333333,0.001285,0,0,0,0,0,288,malware
2,12,0,0.000069,0,0,0,0,311,phishing
2,9.5,0,0,0.000004,0,0,0,51,spamming
2,6.5,0.000643,0,0,0,0,0,289,malware
4,5.75,0,0.000035,0,0,0,0,287,phishing
2,9.5,0,0,0.000004,0,0,0,279,spamming
3,4.666667,0.000643,0,0,0,0,0,428,malware
2,7.5,0,0.000139,0,0,0,0,400,phishing
2,9.5,0,0,0.000004,0,0,0,95,spamming
3,8.333333,0.000643,0,0,0,0,0,54,malware
2,8,0,0.000035,0,0,0,0,317,phishing
2,9.5,0,0,0.000004,0,0,0,77,spamming
4,3.75,0.001285,0,0,0,0,0,682,malware
2,8,0,0.000035,0,0,0,0,108,phishing
2,9.5,0,0,0.000004,0,0,0,105,spamming
3,5.333333,0.000643,0,0,0,0,0,647,malware
2,7.5,0,0.000139,0,0,0,0,0,phishing
2,9.5,0,0,0.000004,0,0,0,272,spamming
2,7,0.000643,0,0,0,0,0,71,malware
