@relation mixed_instances_2

@attribute TLD_AS_com numeric
@attribute TLD_AS_org numeric
@attribute TLD_AS_edu numeric
@attribute TLD_AS_gov numeric
@attribute TLD_AS_uk numeric
@attribute TLD_AS_rest numeric
@attribute Hit_AS_mal numeric
@attribute Hit_AS_phis numeric
@attribute Hit_AS_spam numeric
@attribute NS_Dist_AS numeric
@attribute NS_Count numeric
@attribute TTL_NS numeric
@attribute TTL_DNS_Record numeric
@attribute trust_score_1 numeric
@attribute trust_score_2 numeric
@attribute safety_score_1 numeric
@attribute safety_score_2 numeric
@attribute category_negative numeric
@attribute category_questionable numeric
@attribute category_neutral numeric
@attribute category_positive numeric
@attribute blacklist_mal numeric
@attribute blacklist_phis numeric
@attribute blacklist_scam numeric
@attribute blacklist_spam numeric
@attribute class {normal,abnormal}

@data
0,0,0,0,0,0,0,0,0,0,7,0,0,12,10,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,2880,60,95,87,95,81,0,0,20,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,2,14,8,7,3,0,0,0,0,0,0,0,abnormal
0.066667,0,0,0,0,0,0,0,0,0,4,240,5,94,68,93,59,0,0,8,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,10,0,0,93,65,86,48,0,0,25,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,2,15,5,7,4,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,90,49,86,39,0,0,12,82,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,18,0,0,91,33,82,13,0,0,0,33,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,92,54,89,48,0,0,23,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,11,0,0,94,74,93,60,0,0,13,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,92,71,28,33,32,31,10,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,92,54,90,47,0,0,5,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,12,42,8,35,55,32,0,0,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,50,5,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,88,58,86,47,0,0,20,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,88,49,85,43,0,0,27,12,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,44,6,8,6,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,2,0,0,90,62,90,56,0,0,26,96,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,84,0,0,94,80,94,72,0,0,0,97,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,3,0,0,43,6,5,5,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,6,0,0,86,57,8,54,98,0,3,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,7,0,0,43,6,5,5,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,17,0,0,77,42,67,32,0,0,6,90,0,0,0,0,normal
