@relation mixed_instances_2

@attribute token_count numeric
@attribute avg_token_count numeric
@attribute SLD_URL_mal numeric
@attribute SLD_URL_phis numeric
@attribute SLD_URL_spam numeric
@attribute inbound_link_google numeric
@attribute inbound_link_yahoo numeric
@attribute inbound_link_bing numeric
@attribute lookup_time numeric
@attribute trust_score_1 numeric
@attribute trust_score_2 numeric
@attribute safety_score_1 numeric
@attribute safety_score_2 numeric
@attribute category_negative numeric
@attribute category_questionable numeric
@attribute category_neutral numeric
@attribute category_positive numeric
@attribute blacklist_mal numeric
@attribute blacklist_phis numeric
@attribute blacklist_scam numeric
@attribute blacklist_spam numeric
@attribute class {normal,abnormal}

@data
2,4,0,0,0,0,0,0,68,92,57,89,50,0,0,11,97,0,0,0,0,normal
3,4.333333,0.000643,0,0,0,0,0,287,3,15,17,8,0,0,0,0,0,0,0,0,abnormal
2,5.5,0,0,0,0,0,0,45,85,54,9,52,97,0,4,81,0,0,0,0,normal
2,10.5,0.000643,0,0,0,0,0,443,36,7,6,6,14,0,0,0,0,0,0,0,abnormal
2,3,0,0,0,0,0,0,112,92,64,92,58,0,0,65,97,0,0,0,0,normal
3,5.333333,0.000643,0,0,0,0,0,262,44,6,8,6,0,0,0,0,0,0,0,0,abnormal
3,3.666667,0.003856,0.026149,0.000004,0,0,0,82,94,58,90,50,0,0,10,98,0,0,0,0,normal
3,5,0.000643,0,0,0,0,0,113,50,3,0,0,3,0,0,0,1,0,0,0,abnormal
2,4.5,0,0,0,0,0,0,186,90,11,93,9,0,0,0,75,0,0,0,0,normal
4,6.5,0.000643,0,0,0,0,0,82,9,35,4,13,0,0,0,0,0,0,0,0,abnormal
2,10,0,0,0,0,0,0,277,93,50,94,20,0,0,15,99,0,0,0,0,normal
3,4.666667,0.030848,0.016694,0.010558,0,0,0,458,65,9,68,7,0,0,0,9,0,0,0,0,abnormal
2,4,0,0,0,0,0,0,75,94,79,94,69,0,0,23,98,0,0,0,0,normal
4,3,0.000643,0,0,0,0,0,24006,3,13,2,7,0,0,0,0,0,0,0,0,abnormal
2,5.5,0,0,0,0,0,0,47,92,59,92,54,0,0,17,100,0,0,0,0,normal
2,4,0.000643,0,0,0,0,0,64,13,10,0,0,29,0,0,0,1,0,0,0,abnormal
2,3,0,0,0,0,0,0,52,73,10,81,8,0,0,0,15,0,0,0,0,normal
2,5.5,0.000643,0,0,0,0,0,268,35,7,6,6,8,0,0,0,0,0,0,0,abnormal
2,4,0,0,0,0,0,0,100,94,64,93,56,0,0,10,100,0,0,0,0,normal
2,7.5,0.000643,0,0,0,0,0,502,35,7,6,6,8,0,0,0,0,0,0,0,abnormal
2,5,0,0.000035,0,0,0,0,55,93,75,94,62,0,0,20,100,0,0,0,0,normal
2,7.5,0.000643,0,0,0,0,0,409,44,6,8,6,0,0,0,0,0,0,0,0,abnormal
3,2.333333,0.030848,0.016694,0.010558,0,0,0,75,94,70,94,61,0,0,27,99,0,0,0,0,normal
2,7,0.000643,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
2,11.5,0,0,0,0,0,0,70,5,34,5,25,43,0,0,0,0,0,0,0,normal
2,7.5,0.000643,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
2,2.5,0,0,0,0,0,0,83,89,40,89,29,0,0,0,100,0,0,0,0,normal
2,15,0.000643,0,0,0,0,0,302,19,9,0,0,0,0,0,0,0,0,0,0,abnormal
2,4,0,0,0,0,0,0,60,77,32,77,32,0,0,0,100,0,0,0,0,normal
3,8,0.000643,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
2,4,0,0,0,0,0,0,81,92,58,92,54,0,0,0,100,0,0,0,0,normal
2,4.5,0.000643,0,0,0,0,0,203,26,8,1,5,0,0,0,0,0,0,0,0,abnormal
5,3.4,0,0.001212,0,5110,32300,98,1,69,6,94,6,0,0,0,6,0,0,0,0,normal
