@relation 'Reputation Site Dataset'

@attribute token_count numeric
@attribute avg_token_count numeric
@attribute SLD_URL_mal numeric
@attribute SLD_URL_phis numeric
@attribute SLD_URL_spam numeric
@attribute inbound_link_google numeric
@attribute inbound_link_yahoo numeric
@attribute inbound_link_bing numeric
@attribute lookup_time numeric
@attribute class {malware,phishing,spamming}

@data
4,5,0.001285,0.000381,0.000025,0,0,0,885,malware
3,6,0.000643,0,0,0,0,0,599,malware
4,5.75,0.000643,0.000035,0,0,0,0,372,malware
2,4,0.000643,0,0,0,0,0,360,malware
2,6.5,0.000643,0,0,0,0,0,342,malware
2,6,0.000643,0,0,0,0,0,300,malware
2,8.5,0.000643,0,0,0,0,0,281,malware
2,4.5,0.000643,0,0,0,0,0,292,malware
3,4.666667,0.000643,0,0,0,0,0,268,malware
2,8.5,0.000643,0,0,0,0,0,335,malware
4,3.75,0.000643,0,0,0,0,0,395,malware
2,5.5,0.000643,0,0,0,0,0,271,malware
2,8.5,0.000643,0,0,0,0,0,415,malware
2,6,0.000643,0,0,0,0,0,400,malware
3,5.666667,0.000643,0,0,0,0,0,81,malware
3,3.666667,0.000643,0,0,0,0,0,372,malware
3,5,0.000643,0,0,0,0,0,392,malware
3,4.333333,0.000643,0,0,0,0,0,370,malware
3,3.333333,0.000643,0,0,0,0,0,474,malware
5,5.6,0.001285,0,0,0,0,0,384,malware
4,5.75,0.001285,0,0,0,0,0,429,malware
3,9,0.000643,0,0,0,0,0,198,malware
3,4,0.000643,0,0,0,0,0,477,malware
2,4,0.000643,0,0,0,0,0,62,malware
2,6.5,0.000643,0,0,0,0,0,312,malware
6,5,0.030848,0.016694,0.010558,0,0,0,414,malware
2,7,0.000643,0,0,0,0,0,581,malware
3,5.333333,0.030848,0.016694,0.010558,0,0,0,390,malware
3,4,0.000643,0,0,0,0,0,436,malware
2,6.5,0.000643,0,0,0,0,0,338,malware
2,4,0.000643,0,0,0,0,0,445,malware
2,7.5,0.000643,0,0,0,0,0,758,malware
2,6.5,0.000643,0,0,0,0,0,5177,malware
3,7.333333,0.000643,0,0,0,0,0,305,malware
3,5.333333,0.000643,0,0,0,0,0,348,malware
4,3,0.001285,0.000866,0,0,0,0,779,malware
2,8,0.000643,0,0,0,0,0,725,malware
2,5.5,0.000643,0,0,0,0,0,560,malware
3,5.333333,0.000643,0,0,0,0,0,364,malware
3,6.666667,0.000643,0,0,0,0,0,307,malware
3,5,0.030848,0.016694,0.010558,0,0,0,386,malware
2,10.5,0.000643,0,0,0,0,0,378,malware
3,7.333333,0.000643,0,0,0,0,0,80,malware
2,5.5,0.000643,0,0,0,0,0,439,malware
3,4,0.00964,0.038167,0.00537,0,0,0,552,malware
2,7.5,0.000643,0,0,0,0,0,661,malware
2,7,0.000643,0,0,0,0,0,24008,malware
2,6,0.001285,0,0,0,0,0,63,malware
3,6,0.000643,0,0,0,0,0,101,malware
3,6.666667,0.000643,0,0,0,0,0,299,malware
3,4.333333,0.000643,0,0,0,0,0,310,malware
3,3.666667,0.000643,0,0,0,0,0,326,malware
3,5,0.000643,0,0,0,0,0,1541,malware
3,4.333333,0.000643,0,0,0,0,0,291,malware
3,4,0.000643,0,0,0,0,0,1565,malware
3,6,0.007712,0,0,0,0,0,66,malware
3,10,0.003213,0,0,0,0,0,153,malware
3,6.333333,0.000643,0,0,0,0,0,563,malware
3,6.333333,0.000643,0,0,0,0,0,286,malware
2,7.5,0.000643,0,0,0,0,0,59,malware
2,5.5,0.000643,0,0,0,0,0,429,malware
3,5.666667,0.002571,0,0,0,0,0,320,malware
3,4.333333,0.000643,0,0,0,0,0,652,malware
3,4.333333,0.000643,0,0,0,0,0,586,malware
4,4,0.000643,0.001039,0.000013,0,0,0,367,malware
3,6,0.002571,0,0,0,0,0,331,malware
3,6,0.002571,0,0,0,0,0,297,malware
3,6,0.000643,0,0,0,0,0,330,malware
3,4.333333,0.000643,0,0,0,0,0,346,malware
3,6.666667,0.000643,0,0,0,0,0,1183,malware
3,5.666667,0.000643,0,0,0,0,0,408,malware
3,7.666667,0.000643,0,0,0,0,0,182,malware
3,7,0.000643,0,0,0,0,0,403,malware
3,6.666667,0.000643,0,0,0,0,0,286,malware
3,3.333333,0.000643,0,0,0,0,0,378,malware
3,7,0.000643,0,0,0,0,0,318,malware
3,7.666667,0.007069,0,0,0,0,0,129,malware
3,7.333333,0.00964,0.038167,0.00537,0,0,0,433,malware
3,6.666667,0.00964,0.038167,0.00537,0,0,0,158,malware
3,3,0.001285,0,0,0,0,0,346,malware
3,3,0.001285,0,0,0,0,0,405,malware
3,3.666667,0.001285,0,0,0,0,0,1388,malware
3,4.333333,0.000643,0,0,0,0,0,346,malware
3,3.666667,0.000643,0,0,0,0,0,305,malware
2,3,0.000643,0,0,0,0,0,710,malware
3,7.666667,0.030848,0.016694,0.010558,0,0,0,131,malware
2,9,0.000643,0,0,0,0,0,263,malware
3,10.666667,0.001928,0,0,0,0,0,122,malware
2,6.5,0.000643,0,0,0,0,0,518,malware
4,3.25,0.000643,0,0,0,0,0,395,malware
3,9.333333,0.003213,0,0,0,0,0,71,malware
3,8.333333,0.005784,0,0,0,0,0,95,malware
2,3,0.000643,0,0,0,0,0,1089,malware
5,5.4,0.008355,0,0,0,0,0,260,malware
2,6.5,0.000643,0,0,0,0,0,110,malware
3,8.333333,0.005784,0,0,0,0,0,111,malware
3,5.666667,0.005784,0,0,0,0,0,90,malware
2,4.5,0.000643,0,0,0,0,0,76,malware
2,7.5,0.000643,0,0,0,0,0,382,malware
3,7,0.000643,0,0,0,0,0,117,malware
2,12,0.000643,0,0,0,0,0,404,malware
3,4.666667,0.000643,0,0,0,0,0,439,malware
2,6,0.000643,0,0,0,0,0,348,malware
2,6.5,0.000643,0,0,0,0,0,312,malware
3,6,0.000643,0,0,0,0,0,279,malware
3,5.666667,0.005784,0,0,0,0,0,75,malware
3,7.333333,0.000643,0,0,0,0,0,89,malware
2,10.5,0.000643,0,0,0,0,0,249,malware
3,5.666667,0.005784,0,0,0,0,0,68,malware
5,5.4,0.008355,0,0,0,0,0,89,malware
3,4.666667,0.003856,0.026149,0.000004,0,0,0,388,malware
5,5.4,0.008355,0,0,0,0,0,117,malware
2,9,0.000643,0,0,0,0,0,219,malware
3,5.333333,0.000643,0,0,0,0,0,637,malware
8,6.25,0.001285,0,0,0,0,0,307,malware
7,6.285714,0.001285,0,0,0,0,0,307,malware
4,4.25,0.030848,0.016694,0.010558,0,0,0,354,malware
3,7,0.001928,0.004606,0,0,0,0,621,malware
